Y;X1;X2;X3
572850;95;67;90
67045;55;23;53
364000;65;100;56
3500;5;25;28
32760;60;26;21
7502;62;11;11
64860;15;46;94
133045;41;59;55
264110;98;55;49
1776;2;24;37
129402;18;91;79
6570;73;10;9
547470;79;90;77
285120;80;66;54
116865;53;35;63
49385;83;85;7
117504;72;24;68
62320;95;16;41
228960;45;96;53
99960;70;42;34
49140;70;78;9
17856;93;3;64
153720;36;61;70
836600;100;89;94
30576;52;42;14
131328;38;72;48
8526;87;7;14
610512;79;92;84
28810;67;5;86
41340;53;78;10
18998;59;46;7
50688;16;66;48
234608;86;31;88
24480;60;6;68
116748;18;69;94
348000;100;87;40
232551;33;87;81
315840;94;80;42
6864;52;44;3
28968;8;71;51
9100;100;13;7
4350;58;25;3
15400;25;7;88
38000;38;25;40
72540;36;65;31
72618;38;49;39
41769;13;51;63
271999;61;49;91
317376;57;87;64
3024;9;42;8
11025;9;35;35
171054;51;39;86
405040;61;83;80
520000;65;80;100
362526;69;74;71
42048;64;9;73
104690;19;58;95
36754;46;17;47
99935;23;79;55
56050;95;59;10
2343;11;71;3
402192;84;57;84
1936;44;2;22
86800;40;35;62
12210;55;6;37
715084;97;76;97
525456;89;72;82
269178;58;51;91
262200;95;46;60
46816;77;16;38
182942;23;97;82
12648;62;3;68
100464;13;92;84
44000;40;11;100
145152;48;54;56
1140;60;1;19
109392;53;43;48
664000;83;100;80
23305;59;79;5
279825;91;41;75
347612;43;86;94
23520;15;32;49
376320;98;40;96
102340;86;14;85
1680;56;2;15
5733;13;49;9
5307;1;87;61
2100;3;25;28
80640;20;63;64
95676;21;68;67
448800;85;60;88
99840;32;48;65
3190;11;29;10
33856;46;8;92
10478;13;13;62
63000;90;50;14
40824;9;81;56
180;2;18;5
43680;26;20;84
